exp_group,user_id,likes,views,ctr
Test,22478,14,39,0.358974358974359
Test,113967,7,59,0.1186440677966101
Control,135723,29,99,0.2929292929292929
Test,29915,6,89,0.0674157303370786
Test,129407,25,71,0.352112676056338
Control,123506,18,44,0.4090909090909091
Control,123670,13,45,0.2888888888888888
Test,13095,3,27,0.1111111111111111
Control,123812,3,13,0.2307692307692307
Control,114691,10,36,0.2777777777777778
Control,114865,6,21,0.2857142857142857
Test,12783,9,53,0.1698113207547169
Control,2651,7,33,0.2121212121212121
Control,122888,5,40,0.125
Test,129975,8,91,0.0879120879120879
Test,121560,2,36,0.0555555555555555
Control,109168,34,178,0.1910112359550561
Test,31475,7,113,0.0619469026548672
Control,138417,35,100,0.35
Test,132714,12,89,0.1348314606741573
Control,138709,16,85,0.188235294117647
Test,110763,9,98,0.0918367346938775
Test,132824,22,77,0.2857142857142857
Test,22658,49,129,0.3798449612403101
Control,25170,4,30,0.1333333333333333
Control,17213,22,128,0.171875
Test,132112,32,114,0.2807017543859649
Control,108910,9,53,0.1698113207547169
Test,22576,58,123,0.4715447154471545
Control,25476,14,39,0.358974358974359
Test,132550,4,37,0.1081081081081081
Test,30857,14,129,0.1085271317829457
Test,120212,6,19,0.3157894736842105
Control,1445,4,10,0.4
Control,9336,13,57,0.2280701754385964
Test,16035,11,116,0.0948275862068965
Control,126496,13,68,0.1911764705882352
Test,128855,18,119,0.1512605042016806
Test,7428,3,34,0.088235294117647
Control,32897,16,74,0.2162162162162162
Test,128563,48,109,0.4403669724770642
Control,32819,12,50,0.24
Test,115776,2,24,0.0833333333333333
Control,122701,5,45,0.1111111111111111
Test,3608,1,13,0.0769230769230769
Control,13434,5,12,0.4166666666666667
Test,116004,23,79,0.2911392405063291
Control,5999,11,56,0.1964285714285714
Control,130282,28,159,0.1761006289308176
Control,5643,6,14,0.4285714285714285
Control,130136,15,76,0.1973684210526315
Test,136808,23,160,0.14375
Test,19016,3,52,0.0576923076923076
Control,113430,8,63,0.1269841269841269
Test,27203,23,65,0.3538461538461538
Control,29006,30,110,0.2727272727272727
Control,29492,34,176,0.1931818181818181
Test,136566,5,58,0.0862068965517241
Control,112826,23,107,0.2149532710280373
Control,21083,10,39,0.2564102564102564
Test,27119,6,56,0.1071428571428571
Control,29264,4,33,0.1212121212121212
Control,113004,2,13,0.1538461538461538
Test,26973,18,126,0.1428571428571428
Control,119419,9,46,0.1956521739130435
Control,119497,13,54,0.2407407407407407
Test,117466,5,31,0.1612903225806451
Test,117694,14,92,0.1521739130434782
Control,15072,12,58,0.2068965517241379
Control,127452,22,140,0.1571428571428571
Control,14930,15,40,0.375
Test,117516,47,133,0.3533834586466165
Test,138220,20,68,0.2941176470588235
Control,23667,43,193,0.2227979274611398
Control,131297,26,121,0.2148760330578512
Test,109641,5,15,0.3333333333333333
Control,32432,10,45,0.2222222222222222
Control,32724,9,47,0.1914893617021276
Test,25707,23,80,0.2875
Test,25817,25,217,0.1152073732718894
Control,32614,11,30,0.3666666666666666
Control,127443,4,33,0.1212121212121212
Control,14941,0,6,0.0
Test,117461,4,40,0.1
Control,119146,6,24,0.25
Control,15161,28,94,0.2978723404255319
Control,127615,3,21,0.1428571428571428
Control,14659,5,35,0.1428571428571428
Control,6472,21,86,0.2441860465116279
Control,127913,11,48,0.2291666666666666
Control,131732,27,60,0.45
Test,17849,43,112,0.3839285714285714
Test,25700,12,117,0.1025641025641025
Control,131622,7,43,0.1627906976744186
Test,25856,13,36,0.3611111111111111
Test,137295,13,29,0.4482758620689655
Test,26490,8,70,0.1142857142857142
Test,17941,2,25,0.08
Control,131384,15,100,0.15
Test,26568,3,29,0.1034482758620689
Test,138065,27,69,0.391304347826087
Control,23758,13,50,0.26
Test,109968,27,89,0.3033707865168539
Test,18289,1,14,0.0714285714285714
Control,130135,35,147,0.238095238095238
Test,124762,53,103,0.5145631067961165
Test,116561,34,99,0.3434343434343434
Control,122406,15,84,0.1785714285714285
Test,116121,16,154,0.1038961038961039
Control,130605,6,76,0.0789473684210526
Control,29421,5,39,0.1282051282051282
Test,18923,26,92,0.2826086956521739
Control,29499,14,65,0.2153846153846154
Test,18777,39,104,0.375
Control,113359,32,218,0.146788990825688
Test,19345,16,41,0.3902439024390244
Test,27390,3,24,0.125
Test,137137,18,92,0.1956521739130435
Test,27432,5,58,0.0862068965517241
Test,19189,5,50,0.1
Test,19015,3,30,0.1
Test,23017,8,95,0.0842105263157894
Test,132475,19,63,0.3015873015873015
Test,132553,23,66,0.3484848484848485
Test,31056,13,124,0.1048387096774193
Test,132127,29,94,0.3085106382978723
Test,111212,3,38,0.0789473684210526
Control,24899,4,18,0.2222222222222222
Test,23443,35,89,0.3932584269662921
Control,16428,3,28,0.1071428571428571
Test,31310,14,48,0.2916666666666667
Control,109183,21,77,0.2727272727272727
Control,117996,21,83,0.253012048192771
Control,117854,3,23,0.1304347826086956
Control,126037,8,52,0.1538461538461538
Control,33258,15,90,0.1666666666666666
Test,15460,8,25,0.32
Test,128856,4,46,0.0869565217391304
Control,126621,18,72,0.25
Test,128070,10,34,0.2941176470588235
Control,126969,11,61,0.180327868852459
Control,20434,7,22,0.3181818181818182
Control,136178,17,75,0.2266666666666666
Test,21947,33,89,0.3707865168539326
Test,21769,7,70,0.1
Control,108191,5,14,0.3571428571428571
Test,133971,62,199,0.3115577889447236
Test,134113,25,76,0.3289473684210526
Control,108077,15,52,0.2884615384615384
Control,19582,9,67,0.1343283582089552
Control,27921,5,26,0.1923076923076923
Control,28067,20,66,0.303030303030303
Control,135560,25,189,0.1322751322751322
Control,2644,12,40,0.3
Control,123345,16,126,0.1269841269841269
Control,10847,1,15,0.0666666666666666
Test,121779,30,85,0.3529411764705882
Test,121289,17,56,0.3035714285714285
Control,115474,5,24,0.2083333333333333
Test,4899,8,97,0.0824742268041237
Test,129474,14,137,0.1021897810218978
Control,123599,7,18,0.3888888888888889
Test,123046,49,173,0.2832369942196532
Control,129817,35,183,0.1912568306010929
Control,121462,4,34,0.1176470588235294
Test,11162,8,25,0.32
Test,122900,10,109,0.091743119266055
Test,114719,17,23,0.7391304347826086
Test,123612,5,68,0.0735294117647058
Test,123502,7,26,0.2692307692307692
Control,4912,5,33,0.1515151515151515
Test,28188,35,136,0.2573529411764705
Control,21630,8,45,0.1777777777777777
Test,107588,17,47,0.3617021276595745
Control,133668,19,69,0.2753623188405797
Control,30681,27,157,0.1719745222929936
Test,27860,5,50,0.1
Test,9758,9,32,0.28125
Control,15557,2,14,0.1428571428571428
Test,126196,7,56,0.125
Control,129017,22,109,0.2018348623853211
Control,120470,6,20,0.3
Control,128305,29,160,0.18125
Test,126524,9,26,0.3461538461538461
Control,120200,4,16,0.25
Control,111529,7,27,0.2592592592592592
Control,111231,9,73,0.1232876712328767
Test,139187,24,108,0.2222222222222222
Test,108914,8,74,0.1081081081081081
Test,24628,16,54,0.2962962962962963
Test,109320,5,20,0.25
Control,133024,11,51,0.2156862745098039
Control,26945,29,149,0.1946308724832214
Test,113008,16,38,0.4210526315789473
Test,21393,5,30,0.1666666666666666
Test,112660,4,7,0.5714285714285714
Test,134759,12,39,0.3076923076923077
Control,136554,7,38,0.1842105263157894
Test,134173,30,69,0.4347826086956521
Control,27373,13,50,0.26
Test,134603,8,78,0.1025641025641025
Test,130294,12,102,0.1176470588235294
Test,14200,8,74,0.1081081081081081
Control,116720,13,52,0.25
Test,13852,5,16,0.3125
Control,123991,12,67,0.1791044776119403
Control,115950,7,43,0.1627906976744186
Control,124289,12,71,0.1690140845070422
Test,32634,12,28,0.4285714285714285
Test,131719,18,131,0.1374045801526717
Test,32286,50,137,0.364963503649635
Control,137454,8,62,0.1290322580645161
Test,131921,1,12,0.0833333333333333
Test,139838,14,46,0.3043478260869565
Test,31844,9,51,0.1764705882352941
Test,139510,36,129,0.2790697674418604
Control,109653,7,28,0.25
Test,31958,2,18,0.1111111111111111
Test,127346,38,84,0.4523809523809524
Control,8231,10,46,0.217391304347826
Test,6903,26,71,0.3661971830985915
Control,116750,7,26,0.2692307692307692
Test,127710,5,14,0.3571428571428571
Test,119555,17,57,0.2982456140350877
Test,127752,3,36,0.0833333333333333
Control,138061,11,71,0.1549295774647887
Test,131314,35,112,0.3125
Test,23762,18,64,0.28125
Test,31961,29,126,0.2301587301587301
Control,17929,18,135,0.1333333333333333
Test,139339,22,84,0.2619047619047619
Control,110226,15,101,0.1485148514851485
Test,139907,5,38,0.131578947368421
Test,24090,9,108,0.0833333333333333
Test,24232,10,113,0.0884955752212389
Control,124938,9,31,0.2903225806451613
Control,9092,6,21,0.2857142857142857
Test,14395,4,12,0.3333333333333333
Control,125112,8,50,0.16
Test,127587,26,77,0.3376623376623376
Control,125294,18,78,0.2307692307692307
Test,6958,34,98,0.3469387755102041
Control,8702,34,137,0.2481751824817518
Control,117535,19,48,0.3958333333333333
Test,29167,2,30,0.0666666666666666
Control,137133,19,106,0.1792452830188679
Control,106974,6,20,0.3
Control,27216,6,21,0.2857142857142857
Test,29479,25,70,0.3571428571428571
Test,112809,1,12,0.0833333333333333
Test,113023,2,30,0.0666666666666666
Test,21406,12,115,0.1043478260869565
Test,135102,42,176,0.2386363636363636
Test,122718,22,68,0.3235294117647059
Test,130609,4,42,0.0952380952380952
Control,124302,1,10,0.1
Control,115795,8,42,0.1904761904761904
Test,122504,5,13,0.3846153846153846
Control,123992,22,109,0.2018348623853211
Control,124916,4,42,0.0952380952380952
Control,11386,28,114,0.2456140350877192
Test,14199,15,115,0.1304347826086956
Control,116265,6,17,0.3529411764705882
Control,128090,43,187,0.2299465240641711
Control,7867,13,33,0.3939393939393939
Test,9433,9,16,0.5625
Control,15874,11,38,0.2894736842105263
Control,128396,30,166,0.180722891566265
Control,128836,8,40,0.2
Control,128544,9,62,0.1451612903225806
Test,118000,1,18,0.0555555555555555
Test,9745,1,27,0.037037037037037
Test,9891,3,60,0.05
Test,32800,1,14,0.0714285714285714
Control,120829,3,26,0.1153846153846153
Test,109265,14,38,0.3684210526315789
Test,16432,27,81,0.3333333333333333
Test,109155,6,66,0.0909090909090909
Control,23129,1,40,0.025
Test,109319,11,104,0.1057692307692307
Test,139022,7,29,0.2413793103448276
Test,17198,1,10,0.1
Test,109007,7,64,0.109375
Test,25153,12,25,0.48
Test,16970,12,40,0.3
Test,138968,8,20,0.4
Test,138858,12,53,0.2264150943396226
Control,132565,27,152,0.1776315789473684
Control,121009,4,14,0.2857142857142857
Test,123603,23,63,0.365079365079365
Control,120835,25,108,0.2314814814814814
Control,4841,9,67,0.1343283582089552
Control,13190,19,131,0.1450381679389313
Test,123653,8,74,0.1081081081081081
Test,2532,3,51,0.0588235294117647
Control,4699,3,36,0.0833333333333333
Test,115060,16,47,0.3404255319148936
Control,129956,46,207,0.2222222222222222
Test,122907,12,89,0.1348314606741573
Control,22201,28,138,0.2028985507246377
Test,19554,6,108,0.0555555555555555
Control,22493,26,85,0.3058823529411765
Control,113980,2,29,0.0689655172413793
Control,29896,38,134,0.2835820895522388
Control,29982,2,10,0.2
Control,114320,5,28,0.1785714285714285
Test,20348,13,67,0.1940298507462686
Control,114210,2,12,0.1666666666666666
Control,106317,4,43,0.0930232558139534
Control,118971,39,138,0.2826086956521739
Control,127152,7,41,0.1707317073170731
Control,126978,18,80,0.225
Test,125383,6,48,0.125
Test,117196,20,67,0.2985074626865671
Control,119411,6,33,0.1818181818181818
Test,124945,38,118,0.3220338983050847
Test,17676,4,62,0.064516129032258
Test,110573,4,7,0.5714285714285714
Test,17626,2,49,0.0408163265306122
Control,139928,5,35,0.1428571428571428
Control,131909,39,127,0.3070866141732283
Test,25863,17,54,0.3148148148148148
Control,131391,20,115,0.1739130434782608
Test,17938,35,124,0.282258064516129
Test,137856,8,91,0.0879120879120879
Test,109975,20,62,0.3225806451612903
Test,26137,10,28,0.3571428571428571
Control,131305,19,112,0.1696428571428571
Control,112282,2,9,0.2222222222222222
Control,5809,18,104,0.173076923076923
Test,116708,8,26,0.3076923076923077
Control,14010,11,39,0.282051282051282
Control,122089,14,49,0.2857142857142857
Test,3600,6,65,0.0923076923076923
Test,116012,34,98,0.3469387755102041
Test,3746,13,35,0.3714285714285714
Control,131068,16,65,0.2461538461538461
Control,122871,8,50,0.16
Test,11803,7,59,0.1186440677966101
Control,122693,18,86,0.2093023255813953
Test,136218,5,86,0.0581395348837209
Control,21303,18,71,0.2535211267605634
Control,134935,11,59,0.1864406779661017
Control,29418,14,93,0.1505376344086021
Test,136652,2,27,0.074074074074074
Test,26673,2,32,0.0625
Test,136574,3,51,0.0588235294117647
Control,21075,9,36,0.25
Test,137142,7,66,0.106060606060606
Test,136964,8,91,0.0879120879120879
Control,28998,9,42,0.2142857142857142
Control,20813,2,12,0.1666666666666666
Control,20991,7,28,0.25
Test,136800,3,48,0.0625
Control,28706,3,12,0.25
Test,111375,9,28,0.3214285714285714
Test,30849,36,121,0.2975206611570248
Test,22584,7,94,0.0744680851063829
Test,111321,5,14,0.3571428571428571
Control,139029,23,60,0.3833333333333333
Test,31647,41,137,0.2992700729927007
Test,31305,4,46,0.0869565217391304
Control,138425,2,10,0.2
Test,110965,2,28,0.0714285714285714
Control,2007,6,47,0.1276595744680851
Control,33573,10,45,0.2222222222222222
Control,118307,12,72,0.1666666666666666
Test,7840,14,48,0.2916666666666667
Control,126974,3,21,0.1428571428571428
Test,21720,69,165,0.4181818181818181
Control,20437,12,62,0.1935483870967742
Test,29957,44,127,0.3464566929133858
Test,29793,22,132,0.1666666666666666
Test,114671,2,28,0.0714285714285714
Control,28524,32,138,0.2318840579710145
Test,30377,85,158,0.5379746835443038
Test,133972,39,121,0.3223140495867768
Control,108540,2,15,0.1333333333333333
Test,113905,20,34,0.5882352941176471
Test,30591,19,163,0.1165644171779141
Test,22032,42,144,0.2916666666666667
Control,11068,6,19,0.3157894736842105
Test,121552,33,116,0.2844827586206896
Control,2785,8,24,0.3333333333333333
Control,122880,4,10,0.4
Test,12629,6,52,0.1153846153846153
Test,4232,16,48,0.3333333333333333
Test,129641,17,153,0.1111111111111111
Control,123820,16,75,0.2133333333333333
Test,121212,2,19,0.1052631578947368
Test,5014,1,19,0.0526315789473684
Control,115477,16,107,0.1495327102803738
Test,113740,18,63,0.2857142857142857
Control,27773,19,57,0.3333333333333333
Test,30228,4,43,0.0930232558139534
Control,28075,21,99,0.2121212121212121
Control,19652,19,68,0.2794117647058823
Control,136008,10,87,0.1149425287356321
Test,29962,15,44,0.3409090909090909
Test,21605,1,28,0.0357142857142857
Control,20328,10,58,0.1724137931034483
Test,21719,8,112,0.0714285714285714
Test,129052,12,98,0.1224489795918367
Control,10399,17,82,0.2073170731707317
Test,13088,2,19,0.1052631578947368
Control,123353,15,76,0.1973684210526315
Control,10839,6,48,0.125
Test,129748,7,64,0.109375
Test,4149,22,52,0.4230769230769231
Control,123243,13,49,0.2653061224489796
Test,111048,15,79,0.189873417721519
Test,110764,22,53,0.4150943396226415
Control,16704,10,48,0.2083333333333333
Test,22583,27,204,0.1323529411764706
Test,31064,9,85,0.1058823529411764
Test,31210,3,55,0.0545454545454545
Control,139176,9,68,0.1323529411764706
Control,25393,26,119,0.2184873949579832
Control,16990,13,62,0.2096774193548387
Test,23009,13,127,0.1023622047244094
Control,1296,4,24,0.1666666666666666
Test,7855,2,24,0.0833333333333333
Control,118316,25,91,0.2747252747252747
Control,9641,9,62,0.1451612903225806
Test,120055,6,57,0.1052631578947368
Control,118778,4,11,0.3636363636363636
Test,120461,16,53,0.3018867924528302
Control,33250,10,69,0.144927536231884
Test,7271,14,53,0.2641509433962264
Control,130597,18,89,0.2022471910112359
Test,124314,17,28,0.6071428571428571
Test,11942,3,35,0.0857142857142857
Control,130711,62,265,0.2339622641509434
Control,5394,0,15,0.0
Test,116003,10,70,0.1428571428571428
Test,3615,14,23,0.6086956521739131
Test,11704,29,92,0.3152173913043478
Control,121940,28,71,0.3943661971830985
Test,124548,27,80,0.3375
Test,11530,6,79,0.0759493670886076
Test,124896,6,10,0.6
Test,11374,13,39,0.3333333333333333
Control,130285,13,97,0.134020618556701
Test,124754,12,97,0.1237113402061855
Test,116285,7,31,0.2258064516129032
Control,134498,14,59,0.2372881355932203
Test,136925,5,18,0.2777777777777778
Test,137145,10,68,0.1470588235294117
Control,20628,14,87,0.160919540229885
Test,136561,25,62,0.4032258064516129
Test,26764,6,50,0.12
Test,18915,1,14,0.0714285714285714
Test,107220,8,16,0.5
Control,135082,61,217,0.2811059907834101
Test,136213,31,288,0.1076388888888889
Test,124958,29,91,0.3186813186813186
Control,14383,19,86,0.2209302325581395
Control,14493,5,18,0.2777777777777778
Test,8994,7,75,0.0933333333333333
Test,8774,9,104,0.0865384615384615
Test,809,2,46,0.0434782608695652
Control,14667,9,82,0.1097560975609756
Test,923,9,32,0.28125
Control,6892,16,86,0.1860465116279069
Test,117469,9,87,0.1034482758620689
Control,15153,2,9,0.2222222222222222
Control,6750,15,54,0.2777777777777778
Test,125540,3,6,0.5
Test,8536,31,97,0.3195876288659793
Control,32027,9,36,0.25
Test,109866,8,27,0.2962962962962963
Test,26134,23,68,0.3382352941176471
Control,131376,7,41,0.1707317073170731
Control,131458,8,31,0.2580645161290322
Control,23824,23,62,0.3709677419354839
Test,25864,10,98,0.1020408163265306
Test,137461,40,139,0.2877697841726618
Test,137287,22,80,0.275
Test,26042,11,117,0.094017094017094
Control,24078,9,47,0.1914893617021276
Control,111855,24,148,0.1621621621621621
Control,24252,13,85,0.1529411764705882
Test,17667,12,40,0.3
Control,131630,18,96,0.1875
Control,32723,5,13,0.3846153846153846
Test,110562,4,47,0.0851063829787234
Test,122402,10,42,0.238095238095238
Control,124146,30,112,0.2678571428571428
Control,124196,9,35,0.2571428571428571
Test,122694,46,91,0.5054945054945055
Test,130601,7,76,0.0921052631578947
Control,11472,28,161,0.1739130434782608
Test,130273,4,12,0.3333333333333333
Test,130131,5,42,0.119047619047619
Control,116355,11,66,0.1666666666666666
Control,3177,14,65,0.2153846153846154
Test,130359,44,137,0.3211678832116788
Test,122090,8,25,0.32
Test,121944,8,26,0.3076923076923077
Control,27208,18,129,0.1395348837209302
Control,19239,6,46,0.1304347826086956
Test,28997,4,60,0.0666666666666666
Control,19011,12,54,0.2222222222222222
Control,136217,17,77,0.2207792207792207
Test,21218,29,96,0.3020833333333333
Control,136655,13,80,0.1625
Test,29503,2,21,0.0952380952380952
Test,112817,3,39,0.0769230769230769
Control,125302,15,39,0.3846153846153846
Control,125380,4,28,0.1428571428571428
Control,9006,27,76,0.3552631578947368
Test,118794,13,43,0.3023255813953488
Control,125544,40,175,0.2285714285714285
Test,127155,4,19,0.2105263157894736
Control,8322,25,92,0.2717391304347826
Test,119150,3,31,0.0967741935483871
Control,109808,8,43,0.1860465116279069
Test,23982,10,122,0.081967213114754
Test,23754,41,129,0.3178294573643411
Control,26138,13,51,0.2549019607843137
Test,24066,7,68,0.1029411764705882
Test,111843,8,11,0.7272727272727273
Control,22391,26,68,0.3823529411764705
Control,22469,20,98,0.2040816326530612
Control,133683,11,59,0.1864406779661017
Test,19884,4,42,0.0952380952380952
Control,133193,11,72,0.1527777777777778
Test,107909,13,39,0.3333333333333333
Test,28345,2,49,0.0408163265306122
Control,29958,14,107,0.1308411214953271
Test,20146,13,28,0.4642857142857143
Test,135826,36,127,0.2834645669291338
Control,129186,26,110,0.2363636363636363
Test,2556,1,14,0.0714285714285714
Control,121215,30,136,0.2205882352941176
Test,10743,10,75,0.1333333333333333
Control,4903,4,26,0.1538461538461538
Control,121001,15,75,0.2
Control,129478,8,29,0.2758620689655172
Control,4591,2,20,0.1
Control,129806,12,49,0.2448979591836734
Test,2786,8,55,0.1454545454545454
Test,122883,17,174,0.0977011494252873
Test,115052,16,48,0.3333333333333333
Control,12772,17,74,0.2297297297297297
Test,123349,45,112,0.4017857142857143
Control,31644,5,27,0.1851851851851851
Control,132705,6,31,0.1935483870967742
Test,109343,7,88,0.0795454545454545
Control,31306,9,58,0.1551724137931034
Control,132557,48,178,0.2696629213483146
Test,25487,7,12,0.5833333333333334
Control,30768,21,111,0.1891891891891892
Control,22879,11,53,0.2075471698113207
Control,30850,8,25,0.32
Test,16978,15,111,0.1351351351351351
Control,132479,13,76,0.1710526315789473
Control,31060,32,153,0.2091503267973856
Control,132265,28,165,0.1696969696969697
Control,119881,37,230,0.1608695652173913
Test,126507,3,26,0.1153846153846153
Test,9637,6,14,0.4285714285714285
Test,1226,10,32,0.3125
Test,9409,1,11,0.0909090909090909
Control,7697,5,26,0.1923076923076923
Test,9331,14,36,0.3888888888888889
Control,120805,7,36,0.1944444444444444
Control,15620,5,35,0.1428571428571428
Test,9915,3,35,0.0857142857142857
Test,126343,6,20,0.3
Test,10093,3,9,0.3333333333333333
Test,1538,10,27,0.3703703703703703
Test,139033,16,133,0.1203007518796992
Test,25394,35,213,0.1643192488262911
Control,23448,33,113,0.2920353982300885
Test,138421,6,20,0.3
Test,24904,3,33,0.0909090909090909
Test,25082,14,121,0.1157024793388429
Test,16533,18,58,0.3103448275862069
Test,138247,9,103,0.087378640776699
Test,24734,5,59,0.0847457627118644
Control,7424,16,85,0.188235294117647
Test,118429,12,34,0.3529411764705882
Control,128077,10,53,0.1886792452830188
Control,7852,8,32,0.25
Test,33535,18,49,0.3673469387755102
Test,118319,25,73,0.3424657534246575
Test,126784,7,107,0.0654205607476635
Control,128255,7,35,0.2
Control,8058,3,13,0.2307692307692307
Control,128411,16,75,0.2133333333333333
Control,128297,10,78,0.1282051282051282
Control,15893,2,27,0.074074074074074
Control,29919,11,70,0.1571428571428571
Test,19983,23,58,0.396551724137931
Control,29805,20,77,0.2597402597402597
Control,133190,16,72,0.2222222222222222
Test,136185,22,136,0.1617647058823529
Test,27852,8,13,0.6153846153846154
Control,113917,11,74,0.1486486486486486
Control,22044,33,89,0.3707865168539326
